date,price
2017/6/21,2.4633
2017/6/22,2.478
2017/6/23,2.4967
2017/6/26,2.5075
2017/6/27,2.5173
2017/6/28,2.5016
2017/6/29,2.5183
2017/6/30,2.5114
2017/7/3,2.4967
2017/7/4,2.4741
2017/7/5,2.5163
2017/7/6,2.5203
2017/7/7,2.5144
2017/7/10,2.5281
2017/7/11,2.5566
2017/7/12,2.5497
2017/7/13,2.59
2017/7/14,2.6165
2017/7/17,2.6204
2017/7/18,2.6106
2017/7/19,2.6528
2017/7/20,2.6607
2017/7/21,2.6312
2017/7/24,2.6508
2017/7/25,2.6342
2017/7/26,2.6283
2017/7/27,2.6283
2017/7/28,2.6312
2017/7/31,2.6332
2017/8/1,2.6744
2017/8/2,2.6783
2017/8/3,2.64
2017/8/4,2.6224
2017/8/7,2.6302
2017/8/8,2.6332
2017/8/9,2.6155
2017/8/10,2.6067
2017/8/11,2.5654
2017/8/14,2.587
2017/8/15,2.6027
2017/8/16,2.5919
2017/8/17,2.6037
2017/8/18,2.6155
2017/8/21,2.6145
2017/8/22,2.64
2017/8/23,2.6587
2017/8/24,2.6489
2017/8/25,2.7068
2017/8/28,2.7372
2017/8/29,2.7382
2017/8/30,2.7235
2017/8/31,2.7156
2017/9/1,2.7098
2017/9/4,2.7137
2017/9/5,2.7314
2017/9/6,2.7137
2017/9/7,2.6931
2017/9/8,2.6882
2017/9/11,2.6803
2017/9/12,2.696
2017/9/13,2.6891
2017/9/14,2.6724
2017/9/15,2.6724
2017/9/18,2.6793
2017/9/19,2.6705
2017/9/20,2.6675
2017/9/21,2.6783
2017/9/22,2.6793
2017/9/25,2.6793
2017/9/26,2.6813
2017/9/27,2.6616
2017/9/28,2.6656
2017/9/29,2.6764
2017/10/9,2.6999
2017/10/10,2.696
2017/10/11,2.7117
2017/10/12,2.7225
2017/10/13,2.7206
2017/10/16,2.7304
2017/10/17,2.7284
2017/10/18,2.751
2017/10/19,2.7549
2017/10/20,2.7392
2017/10/23,2.7402
2017/10/24,2.7549
2017/10/25,2.751
2017/10/26,2.7755
2017/10/27,2.8207
2017/10/30,2.8089
2017/10/31,2.7991
2017/11/1,2.7903
2017/11/2,2.7952
2017/11/3,2.7991
2017/11/6,2.7912
2017/11/7,2.8227
2017/11/8,2.8217
2017/11/9,2.8325
2017/11/10,2.8649
2017/11/13,2.8747
2017/11/14,2.86
2017/11/15,2.8482
2017/11/16,2.8786
2017/11/17,2.9356
2017/11/20,2.9415
2017/11/21,2.9905
2017/11/22,3.0112
2017/11/23,2.9365
2017/11/24,2.9356
2017/11/27,2.912
2017/11/28,2.896
2017/11/29,2.89
2017/11/30,2.858
2017/12/1,2.838
2017/12/4,2.858
2017/12/5,2.908
2017/12/6,2.871
2017/12/7,2.844
2017/12/8,2.865
2017/12/11,2.898
2017/12/12,2.846
2017/12/13,2.87
2017/12/14,2.85
2017/12/15,2.816
2017/12/18,2.828
2017/12/19,2.87
2017/12/20,2.876
2017/12/21,2.893
2017/12/22,2.878
2017/12/25,2.876
2017/12/26,2.893
2017/12/27,2.834
2017/12/28,2.855
2017/12/29,2.858
2018/1/2,2.907
2018/1/3,2.912
2018/1/4,2.919
2018/1/5,2.933
2018/1/8,2.944
2018/1/9,2.97
2018/1/10,2.994
2018/1/11,2.991
2018/1/12,3.018
2018/1/15,3.043
2018/1/16,3.064
2018/1/17,3.071
2018/1/18,3.106
2018/1/19,3.113
2018/1/22,3.129
2018/1/23,3.173
2018/1/24,3.172
2018/1/25,3.15
2018/1/26,3.171
2018/1/29,3.114
2018/1/30,3.075
2018/1/31,3.113
2018/2/1,3.134
2018/2/2,3.145
2018/2/5,3.18
2018/2/6,3.11
2018/2/7,3.023
2018/2/8,2.939
2018/2/9,2.803
2018/2/12,2.8
2018/2/13,2.848
2018/2/14,2.866
2018/2/22,2.925
2018/2/23,2.955
2018/2/26,2.965
2018/2/27,2.92
2018/2/28,2.871
2018/3/1,2.884
2018/3/2,2.856
2018/3/5,2.855
2018/3/6,2.888
2018/3/7,2.871
2018/3/8,2.893
2018/3/9,2.903
2018/3/12,2.905
2018/3/13,2.873
2018/3/14,2.863
2018/3/15,2.89
2018/3/16,2.862
2018/3/19,2.892
2018/3/20,2.895
2018/3/21,2.884
2018/3/22,2.857
2018/3/23,2.781
2018/3/26,2.734
2018/3/27,2.739
2018/3/28,2.688
2018/3/29,2.734
2018/3/30,2.713
